project_item_id,project_item_type,project_item_created_at,project_item_updated_at,project_item_is_archived,content_id,content_type,content_number,content_title,content_state,content_url,content_created_at,content_updated_at,content_closed_at,content_merged_at,author,repository,repository_owner,repository_name,assignees,labels,milestone_title,milestone_number,milestone_state,issue_type_id,issue_type_name,parent_id,parent_number,parent_title,parent_url,parent_issue_type_id,parent_issue_type_name,blocked,business_value,days,effort,escalate,has_external_dependency,priority,severity,sprint,status,team,title
PVTI_lADODH0FwM4A3yi4zgZ0e8Y,ISSUE,2025-04-28T18:30:41Z,2025-05-07T22:03:06Z,False,I_kwDOOhN35c60WSvX,Issue,1,Epic 1,OPEN,https://github.com/Regnaer-Org/TestingWorkflowsOrg/issues/1,2025-04-28T18:10:06Z,2025-05-07T22:03:03Z,,,regnaer,Regnaer-Org/TestingWorkflowsOrg,Regnaer-Org,TestingWorkflowsOrg,,,Release 1,1,OPEN,IT_kwDODH0FwM4BljVs,Epic,,,,,,,,,,,,,,,,,,Epic 1
PVTI_lADODH0FwM4A3yi4zgZ0fhU,ISSUE,2025-04-28T18:35:55Z,2025-05-07T22:04:29Z,False,I_kwDOOhN35c60Wj2K,Issue,12,Epic 2,OPEN,https://github.com/Regnaer-Org/TestingWorkflowsOrg/issues/12,2025-04-28T18:35:55Z,2025-05-07T22:04:27Z,,,regnaer,Regnaer-Org/TestingWorkflowsOrg,Regnaer-Org,TestingWorkflowsOrg,,,,,,IT_kwDODH0FwM4BljVs,Epic,,,,,,,,,,,,,,,,,,Epic 2
PVTI_lADODH0FwM4A3yi4zgZ0e8c,ISSUE,2025-04-28T18:30:41Z,2025-05-08T19:05:39Z,False,I_kwDOOhN35c60WYJd,Issue,2,Feature 1,OPEN,https://github.com/Regnaer-Org/TestingWorkflowsOrg/issues/2,2025-04-28T18:17:53Z,2025-05-08T19:05:38Z,,,regnaer,Regnaer-Org/TestingWorkflowsOrg,Regnaer-Org,TestingWorkflowsOrg,,documentation;enhancement,,,,IT_kwDODH0FwM4BljUl,Feature,I_kwDOOhN35c60WSvX,1,Epic 1,https://github.com/Regnaer-Org/TestingWorkflowsOrg/issues/1,IT_kwDODH0FwM4BljVs,Epic,,,,,,,High,,,Refining,Team A,Feature 1
PVTI_lADODH0FwM4A3yi4zgZ0e8g,ISSUE,2025-04-28T18:30:42Z,2025-05-08T02:11:24Z,False,I_kwDOOhN35c60WYLt,Issue,3,Real-Time Catastrophe Risk Visualization,OPEN,https://github.com/Regnaer-Org/TestingWorkflowsOrg/issues/3,2025-04-28T18:17:58Z,2025-05-07T21:36:05Z,,,regnaer,Regnaer-Org/TestingWorkflowsOrg,Regnaer-Org,TestingWorkflowsOrg,,,Release 2,2,OPEN,IT_kwDODH0FwM4BljUl,Feature,I_kwDOOhN35c60WSvX,1,Epic 1,https://github.com/Regnaer-Org/TestingWorkflowsOrg/issues/1,IT_kwDODH0FwM4BljVs,Epic,,,,,,,,,Sprint 3,,,Real-Time Catastrophe Risk Visualization
PVTI_lADODH0FwM4A3yi4zgZ0e8k,ISSUE,2025-04-28T18:30:42Z,2025-05-07T21:34:50Z,False,I_kwDOOhN35c60WYRW,Issue,4,Automated Portfolio Risk Assessment,OPEN,https://github.com/Regnaer-Org/TestingWorkflowsOrg/issues/4,2025-04-28T18:18:06Z,2025-05-07T21:34:46Z,,,regnaer,Regnaer-Org/TestingWorkflowsOrg,Regnaer-Org,TestingWorkflowsOrg,,,Release 2,2,OPEN,IT_kwDODH0FwM4BljUl,Feature,I_kwDOOhN35c60WSvX,1,Epic 1,https://github.com/Regnaer-Org/TestingWorkflowsOrg/issues/1,IT_kwDODH0FwM4BljVs,Epic,,,,,,,,,,,,Automated Portfolio Risk Assessment
PVTI_lADODH0FwM4A3yi4zgZ0e8o,ISSUE,2025-04-28T18:30:42Z,2025-05-08T19:05:57Z,False,I_kwDOOhN35c60WYb2,Issue,5,Story 1,OPEN,https://github.com/Regnaer-Org/TestingWorkflowsOrg/issues/5,2025-04-28T18:18:18Z,2025-05-08T19:05:55Z,,,regnaer,Regnaer-Org/TestingWorkflowsOrg,Regnaer-Org,TestingWorkflowsOrg,,,,,,IT_kwDODH0FwM4BljVo,Story,I_kwDOOhN35c60WYJd,2,Feature 1,https://github.com/Regnaer-Org/TestingWorkflowsOrg/issues/2,IT_kwDODH0FwM4BljUl,Feature,,,,,,,,,Sprint 4,,,Story 1
PVTI_lADODH0FwM4A3yi4zgZ0e8s,ISSUE,2025-04-28T18:30:42Z,2025-05-08T19:06:00Z,False,I_kwDOOhN35c60WYez,Issue,6,Story 2,OPEN,https://github.com/Regnaer-Org/TestingWorkflowsOrg/issues/6,2025-04-28T18:18:24Z,2025-05-08T19:05:57Z,,,regnaer,Regnaer-Org/TestingWorkflowsOrg,Regnaer-Org,TestingWorkflowsOrg,,,,,,IT_kwDODH0FwM4BljUk,Bug,I_kwDOOhN35c60WYJd,2,Feature 1,https://github.com/Regnaer-Org/TestingWorkflowsOrg/issues/2,IT_kwDODH0FwM4BljUl,Feature,,,,,,,MVP,,,,Team B,Story 2
PVTI_lADODH0FwM4A3yi4zgZ0e8w,ISSUE,2025-04-28T18:30:43Z,2025-05-07T21:36:18Z,False,I_kwDOOhN35c60WYl9,Issue,7,Display live hurricane tracks and projected paths,OPEN,https://github.com/Regnaer-Org/TestingWorkflowsOrg/issues/7,2025-04-28T18:18:38Z,2025-05-07T21:36:17Z,,,regnaer,Regnaer-Org/TestingWorkflowsOrg,Regnaer-Org,TestingWorkflowsOrg,,,Release 2,2,OPEN,IT_kwDODH0FwM4BljVo,Story,I_kwDOOhN35c60WYLt,3,Real-Time Catastrophe Risk Visualization,https://github.com/Regnaer-Org/TestingWorkflowsOrg/issues/3,IT_kwDODH0FwM4BljUl,Feature,,,,,,,,,,,,Display live hurricane tracks and projected paths
PVTI_lADODH0FwM4A3yi4zgZ0e80,ISSUE,2025-04-28T18:30:43Z,2025-05-07T21:36:20Z,False,I_kwDOOhN35c60WYpR,Issue,8,Layer earthquake risk zones on the map,OPEN,https://github.com/Regnaer-Org/TestingWorkflowsOrg/issues/8,2025-04-28T18:18:44Z,2025-05-07T21:36:18Z,,,regnaer,Regnaer-Org/TestingWorkflowsOrg,Regnaer-Org,TestingWorkflowsOrg,,,Release 2,2,OPEN,IT_kwDODH0FwM4BljVo,Story,I_kwDOOhN35c60WYLt,3,Real-Time Catastrophe Risk Visualization,https://github.com/Regnaer-Org/TestingWorkflowsOrg/issues/3,IT_kwDODH0FwM4BljUl,Feature,,,,,,,,,,,,Layer earthquake risk zones on the map
PVTI_lADODH0FwM4A3yi4zgZ0e9A,ISSUE,2025-04-28T18:30:43Z,2025-05-08T19:06:08Z,False,I_kwDOOhN35c60WY5W,Issue,9,Task 1,OPEN,https://github.com/Regnaer-Org/TestingWorkflowsOrg/issues/9,2025-04-28T18:19:05Z,2025-05-08T19:06:06Z,,,regnaer,Regnaer-Org/TestingWorkflowsOrg,Regnaer-Org,TestingWorkflowsOrg,,,,,,IT_kwDODH0FwM4BljUj,Task,I_kwDOOhN35c60WYb2,5,Story 1,https://github.com/Regnaer-Org/TestingWorkflowsOrg/issues/5,IT_kwDODH0FwM4BljVo,Story,,,,,,,,,Sprint 4,,,Task 1
