parent_id,parent_title,parent_issue_type_name,parent_url,parent_team,child_id,child_title,child_issue_type_name,child_url,child_team,violation
I_kwDOOhN35c60WSvX,Epic 1,,,,I_kwDOOhN35c60WYJd,Feature 1,,https://github.com/Regnaer-Org/TestingWorkflowsOrg/issues/2,Team A, cannot have  as a sub-issue
I_kwDOOhN35c60WSvX,Epic 1,,,,I_kwDOOhN35c60WYLt,Real-Time Catastrophe Risk Visualization,,https://github.com/Regnaer-Org/TestingWorkflowsOrg/issues/3,, cannot have  as a sub-issue
I_kwDOOhN35c60WSvX,Epic 1,,,,I_kwDOOhN35c60WYRW,Automated Portfolio Risk Assessment,,https://github.com/Regnaer-Org/TestingWorkflowsOrg/issues/4,, cannot have  as a sub-issue
I_kwDOOhN35c60WSvX,Epic 1,,,,I_kwDOOhN35c61oXyk,This is a newer Feature,,https://github.com/Regnaer-Org/TestingWorkflowsOrg/issues/32,, cannot have  as a sub-issue
I_kwDOOhN35c60WSvX,Epic 1,,,,I_kwDOOhN35c61oYUi,This is another Feature,,https://github.com/Regnaer-Org/TestingWorkflowsOrg/issues/33,, cannot have  as a sub-issue
I_kwDOOhN35c60WYJd,Epic 1,,https://github.com/Regnaer-Org/TestingWorkflowsOrg/issues/1,Team A,I_kwDOOhN35c60WYb2,Story 1,,https://github.com/Regnaer-Org/TestingWorkflowsOrg/issues/5,, cannot have  as a sub-issue
I_kwDOOhN35c60WYJd,Epic 1,,https://github.com/Regnaer-Org/TestingWorkflowsOrg/issues/1,Team A,I_kwDOOhN35c60WYez,Story 2,,https://github.com/Regnaer-Org/TestingWorkflowsOrg/issues/6,Team B, cannot have  as a sub-issue
I_kwDOOhN35c60WYJd,Epic 1,,https://github.com/Regnaer-Org/TestingWorkflowsOrg/issues/1,Team A,I_kwDOOhN35c60ZVz-,Story A,,https://github.com/Regnaer-Org/TestingWorkflowsOrg/issues/13,, cannot have  as a sub-issue
I_kwDOOhN35c60WYJd,Epic 1,,https://github.com/Regnaer-Org/TestingWorkflowsOrg/issues/1,Team A,I_kwDOOhN35c60ZXs6,Story B,,https://github.com/Regnaer-Org/TestingWorkflowsOrg/issues/14,, cannot have  as a sub-issue
I_kwDOOhN35c60WYJd,Epic 1,,https://github.com/Regnaer-Org/TestingWorkflowsOrg/issues/1,Team A,I_kwDOOhN35c60ZakU,Story C,,https://github.com/Regnaer-Org/TestingWorkflowsOrg/issues/15,, cannot have  as a sub-issue
I_kwDOOhN35c60WYJd,Epic 1,,https://github.com/Regnaer-Org/TestingWorkflowsOrg/issues/1,Team A,I_kwDOOhN35c60ZdI4,Story D,,https://github.com/Regnaer-Org/TestingWorkflowsOrg/issues/16,Team A, cannot have  as a sub-issue
I_kwDOOhN35c60WYJd,Epic 1,,https://github.com/Regnaer-Org/TestingWorkflowsOrg/issues/1,Team A,I_kwDOOhN35c60ZiDF,Story E,,https://github.com/Regnaer-Org/TestingWorkflowsOrg/issues/17,, cannot have  as a sub-issue
I_kwDOOhN35c60WYJd,Epic 1,,https://github.com/Regnaer-Org/TestingWorkflowsOrg/issues/1,Team A,I_kwDOOhN35c60Zkt7,Story F,,https://github.com/Regnaer-Org/TestingWorkflowsOrg/issues/18,Team B, cannot have  as a sub-issue
I_kwDOOhN35c60WYJd,Epic 1,,https://github.com/Regnaer-Org/TestingWorkflowsOrg/issues/1,Team A,I_kwDOOhN35c60Zm2s,Story G,,https://github.com/Regnaer-Org/TestingWorkflowsOrg/issues/19,, cannot have  as a sub-issue
